Model,Execution Time (seconds)
KNN,125.0424216997344
Hybrid KNN-SVM,99.2609417999629
Hybrid DT-SVM,39.6768118001055
SVM,10.39139340003021
DT,7.673412999836728
XGBoost,5.176734000211582
